nr,typ,kategorie,beschreibung,aufgaben
1,abschlussprojekt,technisch,Dieser Punkt ist ein technischer Teil des Berichts über das Abschlussprojekt.,"Der Bericht wird fehlerfrei im HTML-Format wiedergegeben (gerendert) und enthält mindestens fünf Kapitel der Überschriftenebene 1 mit den folgenden Namen: Einleitung, Daten, Ergebnisse, Schlussfolgerungen."
2,abschlussprojekt,technisch,Dieser Punkt ist ein technischer Teil des Berichts über das Abschlussprojekt.,"Der YAML-Berichtskopf enthält Titel, Autor, Datum und Inhaltsverzeichnis, die in der kompilierten HTML-Ausgabe korrekt angezeigt werden."
3,abschlussprojekt,technisch,Dieser Punkt ist ein technischer Teil des Berichts über das Abschlussprojekt.,"Warnungen werden in der kompilierten Ausgabe ausgeblendet, aber der Code wird in der kompilierten Ausgabe angezeigt."
4,abschlussprojekt,technisch,Dieser Punkt ist ein technischer Teil des Berichts über das Abschlussprojekt.,Der Bericht enthält mindestens zwei Datenvisualisierungen.
5,abschlussprojekt,technisch,Dieser Punkt ist ein technischer Teil des Berichts über das Abschlussprojekt.,"Jede Datenvisualisierung hat bearbeitete, für Menschen lesbare Beschriftungen (z. B. Achsenbeschriftungen, Legendentitel)."
6,abschlussprojekt,technisch,Dieser Punkt ist ein technischer Teil des Berichts über das Abschlussprojekt.,"Jede Datenvisualisierung verwendet mindestens eine Skalierungsfunktion (z. B. Farbe/Füllung mit `scale_color_XYZ`, Achsen mit Funktionen `scale_x_XYZ`)."
7,abschlussprojekt,technisch,Dieser Punkt ist ein technischer Teil des Berichts über das Abschlussprojekt.,"Jede Datenvisualisierung hat eine Bezeichnung (label), die in den Code-Block-Optionen definiert ist."
8,abschlussprojekt,technisch,Dieser Punkt ist ein technischer Teil des Berichts über das Abschlussprojekt.,"Jede Datenvisualisierung hat eine Beschriftung (caption), die in den Code-Block-Optionen definiert ist."
9,abschlussprojekt,technisch,Dieser Punkt ist ein technischer Teil des Berichts über das Abschlussprojekt.,"Jede Datenvisualisierung wird im Bericht mit einem Querverweis versehen, wobei die definierte Bezeichnung (label) aus den Code-Block-Optionen verwendet wird."
10,abschlussprojekt,technisch,Dieser Punkt ist ein technischer Teil des Berichts über das Abschlussprojekt.,"Der Bericht enthält mindestens eine Tabelle mit zusammenfassenden Statistiken (z. B. Anzahl, Mittelwert, Median, Standardabweichung usw.)."
11,abschlussprojekt,technisch,Dieser Punkt ist ein technischer Teil des Berichts über das Abschlussprojekt.,Jede Tabelle wird in der gerenderten Ausgabe mit einer im Kurs erlernten Funktion (z. B. `kable()`-Funktion oder `gt()`-Funktion) formatiert.
12,abschlussprojekt,technisch,Dieser Punkt ist ein technischer Teil des Berichts über das Abschlussprojekt.,"Jede Tabelle hat eine Bezeichnung (label), die in den Code-Block-Optionen definiert ist."
13,abschlussprojekt,technisch,Dieser Punkt ist ein technischer Teil des Berichts über das Abschlussprojekt.,"Jede Tabelle hat eine Beschriftung (caption), die in den Code-Block-Optionen definiert ist."
14,abschlussprojekt,technisch,Dieser Punkt ist ein technischer Teil des Berichts über das Abschlussprojekt.,"Jede Tabelle hat bearbeitete, für Menschen lesbare Beschriftungen (z. B. Achsenbeschriftungen, Legendentitel)."
15,abschlussprojekt,technisch,Dieser Punkt ist ein technischer Teil des Berichts über das Abschlussprojekt.,Das Projekt-Verzeichnis (Repository) ist mittels GitHub Pages öffentlich publiziert.
16,abschlussprojekt,daten,Dieser Punkt ist Teil der Datenverarbeitung und Dokumentation.,"Die Daten aus dem Ordner `daten/raw` wurden importiert, bereinigt und als analysefertige verarbeitete Daten im Ordner `daten/processed` gespeichert."
17,abschlussprojekt,daten,Dieser Punkt ist Teil der Datenverarbeitung und Dokumentation.,"Der Ordner `daten/processed` enthält eine codebook.csv Datei mit zwei Spalten (variable_name, beschreibung), die jede Variable der Daten im selben Ordner dokumentieren."
18,abschlussprojekt,daten,Dieser Punkt ist Teil der Datenverarbeitung und Dokumentation.,Das Hauptverzeichnis enthält eine `README.md` Datei aus einer Vorlage und die Dokumentation für das Abschlussprojekt und die Daten.
19,abschlussprojekt,intellektuell,Dieser Punkt ist Teil der intellektuellen Aussagen des Abschlussprojektberichts.,Der Abschnitt Einleitung führt mit 3 bis 5 Sätzen in den Kontext ein in dem das Projekt erstellt wurde.
20,abschlussprojekt,intellektuell,Dieser Punkt ist Teil der intellektuellen Aussagen des Abschlussprojektberichts.,Der Abschnitt Daten beschreibt die Daten mit 3 bis 5 Sätzen. Die Datenquelle mit Link (falls vorhanden) ist angegeben.
21,abschlussprojekt,intellektuell,Dieser Punkt ist Teil der intellektuellen Aussagen des Abschlussprojektberichts.,Der Abschnitt Ergebnisse beschreibt und interpretiert die Diagramme und Tabellen welche erstellt wurden.
22,abschlussprojekt,intellektuell,Dieser Punkt ist Teil der intellektuellen Aussagen des Abschlussprojektberichts.,Der Abschnitt Schlussfolgerungen fasst die Ergebnisse in Form von Aufzählungspunkten zusammen.
