jahr,hauptgruppe,untergruppe,thg,thg_agg,emission
1990,Abwasser und Abfall,Abfalldeponie,CO2,CO2eq,0
1991,Abwasser und Abfall,Abfalldeponie,CO2,CO2eq,0
1992,Abwasser und Abfall,Abfalldeponie,CO2,CO2eq,0
1993,Abwasser und Abfall,Abfalldeponie,CO2,CO2eq,0
1994,Abwasser und Abfall,Abfalldeponie,CO2,CO2eq,0
1995,Abwasser und Abfall,Abfalldeponie,CO2,CO2eq,0
1996,Abwasser und Abfall,Abfalldeponie,CO2,CO2eq,0
1997,Abwasser und Abfall,Abfalldeponie,CO2,CO2eq,0
1998,Abwasser und Abfall,Abfalldeponie,CO2,CO2eq,0
1999,Abwasser und Abfall,Abfalldeponie,CO2,CO2eq,0
2000,Abwasser und Abfall,Abfalldeponie,CO2,CO2eq,0
2001,Abwasser und Abfall,Abfalldeponie,CO2,CO2eq,0
2002,Abwasser und Abfall,Abfalldeponie,CO2,CO2eq,0
2003,Abwasser und Abfall,Abfalldeponie,CO2,CO2eq,0
2004,Abwasser und Abfall,Abfalldeponie,CO2,CO2eq,0
2005,Abwasser und Abfall,Abfalldeponie,CO2,CO2eq,0
2006,Abwasser und Abfall,Abfalldeponie,CO2,CO2eq,0
2007,Abwasser und Abfall,Abfalldeponie,CO2,CO2eq,0
2008,Abwasser und Abfall,Abfalldeponie,CO2,CO2eq,0
2009,Abwasser und Abfall,Abfalldeponie,CO2,CO2eq,0
2010,Abwasser und Abfall,Abfalldeponie,CO2,CO2eq,0
2011,Abwasser und Abfall,Abfalldeponie,CO2,CO2eq,0
2012,Abwasser und Abfall,Abfalldeponie,CO2,CO2eq,0
2013,Abwasser und Abfall,Abfalldeponie,CO2,CO2eq,0
2014,Abwasser und Abfall,Abfalldeponie,CO2,CO2eq,0
2015,Abwasser und Abfall,Abfalldeponie,CO2,CO2eq,0
2016,Abwasser und Abfall,Abfalldeponie,CO2,CO2eq,0
2017,Abwasser und Abfall,Abfalldeponie,CO2,CO2eq,0
2018,Abwasser und Abfall,Abfalldeponie,CO2,CO2eq,0
2019,Abwasser und Abfall,Abfalldeponie,CO2,CO2eq,0
2020,Abwasser und Abfall,Abfalldeponie,CO2,CO2eq,0
2021,Abwasser und Abfall,Abfalldeponie,CO2,CO2eq,0
2022,Abwasser und Abfall,Abfalldeponie,CO2,CO2eq,0
