stand,kanton,jahr,stufe,schultyp,geschlecht,staatsangehoerigkeit,traegerschaft,finanzierung,anzahl
2023-09-01,zh,2022,Primarstufe 1-2,Volksschule,weiblich,Schweiz,öffentlich,öffentlich,11014
2023-09-01,zh,2022,Primarstufe 1-2,Volksschule,weiblich,Ausland,öffentlich,öffentlich,4367
2023-09-01,zh,2022,Primarstufe 1-2,Volksschule,weiblich,Schweiz,privat,privat,577
2023-09-01,zh,2022,Primarstufe 1-2,Volksschule,weiblich,Ausland,privat,privat,431
2023-09-01,zh,2022,Primarstufe 1-2,Volksschule,männlich,Schweiz,öffentlich,öffentlich,11723
2023-09-01,zh,2022,Primarstufe 1-2,Volksschule,männlich,Ausland,öffentlich,öffentlich,4587
2023-09-01,zh,2022,Primarstufe 1-2,Volksschule,männlich,Schweiz,privat,privat,592
2023-09-01,zh,2022,Primarstufe 1-2,Volksschule,männlich,Ausland,privat,privat,452
2023-09-01,zh,2022,Primarstufe 1-2,Heim- und Sonderschule,weiblich,Schweiz,öffentlich,öffentlich,26
2023-09-01,zh,2022,Primarstufe 1-2,Heim- und Sonderschule,weiblich,Ausland,öffentlich,öffentlich,28
2023-09-01,zh,2022,Primarstufe 1-2,Heim- und Sonderschule,weiblich,Schweiz,privat,öffentlich,28
2023-09-01,zh,2022,Primarstufe 1-2,Heim- und Sonderschule,weiblich,Ausland,privat,öffentlich,19
2023-09-01,zh,2022,Primarstufe 1-2,Heim- und Sonderschule,männlich,Schweiz,öffentlich,öffentlich,66
2023-09-01,zh,2022,Primarstufe 1-2,Heim- und Sonderschule,männlich,Ausland,öffentlich,öffentlich,49
2023-09-01,zh,2022,Primarstufe 1-2,Heim- und Sonderschule,männlich,Schweiz,privat,öffentlich,59
2023-09-01,zh,2022,Primarstufe 1-2,Heim- und Sonderschule,männlich,Ausland,privat,öffentlich,56
2023-09-01,zh,2022,Primarstufe 3-8,Volksschule,weiblich,Schweiz,öffentlich,öffentlich,33617
2023-09-01,zh,2022,Primarstufe 3-8,Volksschule,weiblich,Ausland,öffentlich,öffentlich,12298
2023-09-01,zh,2022,Primarstufe 3-8,Volksschule,weiblich,Schweiz,privat,privat,1416
2023-09-01,zh,2022,Primarstufe 3-8,Volksschule,weiblich,Ausland,privat,privat,977
2023-09-01,zh,2022,Primarstufe 3-8,Volksschule,männlich,Schweiz,öffentlich,öffentlich,34996
2023-09-01,zh,2022,Primarstufe 3-8,Volksschule,männlich,Ausland,öffentlich,öffentlich,12321
2023-09-01,zh,2022,Primarstufe 3-8,Volksschule,männlich,Schweiz,privat,privat,1616
2023-09-01,zh,2022,Primarstufe 3-8,Volksschule,männlich,Ausland,privat,privat,1192
2023-09-01,zh,2022,Primarstufe 3-8,Heim- und Sonderschule,weiblich,Schweiz,öffentlich,öffentlich,115
2023-09-01,zh,2022,Primarstufe 3-8,Heim- und Sonderschule,weiblich,Ausland,öffentlich,öffentlich,102
2023-09-01,zh,2022,Primarstufe 3-8,Heim- und Sonderschule,weiblich,Schweiz,privat,öffentlich,151
2023-09-01,zh,2022,Primarstufe 3-8,Heim- und Sonderschule,weiblich,Ausland,privat,öffentlich,98
2023-09-01,zh,2022,Primarstufe 3-8,Heim- und Sonderschule,männlich,Schweiz,öffentlich,öffentlich,231
2023-09-01,zh,2022,Primarstufe 3-8,Heim- und Sonderschule,männlich,Ausland,öffentlich,öffentlich,183
2023-09-01,zh,2022,Primarstufe 3-8,Heim- und Sonderschule,männlich,Schweiz,privat,öffentlich,486
2023-09-01,zh,2022,Primarstufe 3-8,Heim- und Sonderschule,männlich,Ausland,privat,öffentlich,301
2023-09-01,zh,2022,Sekundarstufe I,Volksschule,weiblich,Schweiz,öffentlich,öffentlich,12007
2023-09-01,zh,2022,Sekundarstufe I,Volksschule,weiblich,Ausland,öffentlich,öffentlich,4203
2023-09-01,zh,2022,Sekundarstufe I,Volksschule,weiblich,Schweiz,privat,öffentlich,2
2023-09-01,zh,2022,Sekundarstufe I,Volksschule,weiblich,Schweiz,privat,privat,1222
2023-09-01,zh,2022,Sekundarstufe I,Volksschule,weiblich,Ausland,privat,privat,520
